Arc,Noun,Drawing Semicircle,Drawing
Baby,Noun,showing baby bump,Personification
Baby,Noun,cradling baby,Acting
Big,Adjective,Fat Person,Personification
Birth,Verb,Giving Birth,Acting
Book,Noun,Reading,Acting
Braid,Noun,Braiding Hair,Acting
Cat,Noun,Licking Paw,Personification
chicken,Noun,Flapping elbows,Personification
Claw,Noun,Punching,Acting
Crazy,Adjective,Acting Crazy + Pointing at head,Acting + Ostenisive Cues
Dancer,Noun,Dancing,Acting
Dead,Adjective,Slitting throat + Acting Dead,Acting + Personification
Dog,Noun,Sticking Tongue out with paws,Personification
Dream,Noun, Sleeping + Thinking ( Cloud),Acting + Representation
Driver,Noun,Drving,Acting
Fire,Noun,Showing Flames,Representation
Farm,Noun,Farming,Acting
Golf,Noun,Golfing,Representation
Gravity,Noun,Pointing Down (Dropping Action),Representation
Heart,Noun,Drawing Heart Shape,Drawing
Heaven,Noun,Representing an Angel,Personification
Horizon,Noun,looking afar,Representation
Horse,Noun,riding,Acting
I,Pronoun,Pointing at eye,Ostensive Cues
I,Pronoun,Pointing to oneself,Personification
Jurasic Park,Noun,Acting Dinosour,Personification
Kiss,Noun,Kissing,Acting
Kung Fu,Noun,Kicking and Chopping,Acting
Mask,Noun,Putting on Mask,Representation
Movie,Noun,Representing rolling camera,Representation
Murder,Verb,Stabbing,Acting
Nightmare,Noun,Sleeping + Getting Scared,Acting
Pac Man,Noun,Acting Like Pac Man,Personification
Rolling,Verb,Rolling,Acting
Run,Verb,Running,Acting
Salute,Verb,Saluting,Acting
Saw,Noun,Cutting,Acting 
Saw,Noun, Looking,Acting(Homonym)
Sick,Verb,Puking,Acting
Skating,Verb,Sliding legs,Acting
Sky,Noun,Pointing Up,Ostensive Cues
Sniper,Noun,"Shooting, holding a gun",Representation + Actiing
Song,Noun,Singing,Acting
Stairway,Noun,Marching Upwards,Acting
Time,Noun,Pointing to Wrist,Ostensive Cues
Tiny,Adjectve,Clicking,Representation
Train,Noun,Choo Choo,Personification
Tv show,Noun,Drawing Rectangle,Drawing
Twister,Noun,Twisting,Acting
Vampire,Noun,Biting + Pointing at Neck ,Acting + Ostenisive Cues + Personification
Wedding,Noun,Marching + Putting on Rings,Representation + Acting
Wedding Ring,Noun,Pointing to Ring Finger,Ostensive Cues
